category,brand,name,price,unit,photo_url,description
Силові та сонячні кабелі,KBE,"Сонячний кабель KBE Solar 6 мм, 500 м (бухта), чорний, Німеччина",33618,грн,assets/images/products/146741_1.jpg,"Сонячний кабель KBE Solar 6 мм², 500 м (бухта), чорний, Німеччина Сонячний кабель KBE Solar 6 мм² використовується для підключення сонячних панелей та іншого обладнання фотоелектричної системи. Кабель призначений для прокладання електричних з'єднань у сонячних електростанціях та фотоелектричних системах. KBE Solar має переріз 6 мм² та поставляється в бухті довжиною 500 м. Чорний колір кабелю дозволяє використовувати його для монтажу сонячної електростанції та зручного прокладання кабельних ліній. Сонячний кабель KBE Solar 6 мм² підходить для використання у фотоелектричних системах, де потрібен кабель для сонячних панелей відповідного перерізу. Велика бухта на 500 м зручна для монтажу систем, у яких необхідна значна довжина кабельної лінії. Характеристики: виробник: KBE Solar країна виробництва: Німеччина переріз: 6 мм² довжина: 500 м колір: чорний тип: сонячний кабель призначення: для сонячних панелей та фотоелектричних систем форма поставки: бухта"
Силові та сонячні кабелі,DYNESS,Комплект силових кабелів Dyness 4AWG 1000V VW1 2050мм,1920,грн,assets/images/products/145284_1.jpg,"Комплект силових кабелів Dyness 4AWG 1000V VW1 2050 мм Комплект силових кабелів Dyness 4AWG використовується для підключення акумуляторних батарей Dyness до інвертора та іншого обладнання системи. Це готовий комплект кабелів для силового підключення акумулятора в системах автономного та резервного живлення. Кабелі мають переріз 4AWG та розраховані на напругу до 1000 В. Довжина 2050 мм дозволяє прокласти кабель між акумулятором та підключеним обладнанням з урахуванням відстані під час монтажу. Dyness 4AWG 1000V VW1 можна використовувати з акумуляторами Dyness для підключення до інвертора та побудови системи накопичення енергії. Готовий комплект зручно придбати разом з акумулятором, коли для монтажу потрібні відповідні силові кабелі. Характеристики: виробник: Dyness переріз: 4AWG напруга: 1000 В довжина: 2050 мм виконання: VW1 тип: комплект силових кабелів призначення: для підключення акумуляторів Dyness"
Комплекти автономного енергоживлення,FELICITY,Комплект автономного енергоживлення: MUST PV19-6048EXP 48V 6 kW + Felicity FLA48230 51.2V 230Ah,93323,грн,assets/images/komp/152219.jpg,"Комплект автономного енергоживлення MUST PV19-6048EXP 48V 6 kW + Felicity FLA48230 51.2V 230Ah Комплект автономного енергоживлення MUST та Felicity підійде для будинку, квартири, офісу, майстерні або іншого об'єкта, де потрібна система резервного та автономного живлення. У комплекті поєднані інвертор MUST потужністю 6 кВт та акумулятор Felicity на 11,78 кВт·год, тому система може живити підключене навантаження та накопичувати електроенергію для подальшого використання. MUST PV19-6048EXP це гібридний інвертор потужністю 6 кВт з номінальною напругою акумулятора 48 В. Він формує вихідну напругу 230 В у вигляді чистої синусоїди, тому підходить для живлення побутової техніки, електроніки та іншого обладнання в межах допустимого навантаження. Інвертор може працювати від акумулятора, сонячних панелей, електромережі або генератора. Пікова потужність становить 12000 Вт. Вбудований MPPT-контролер працює в діапазоні 150-450 В і підтримує сонячні панелі потужністю до 6 кВт, максимальний струм заряджання 120 А. Є входи USB, RS485 і CAN, підтримується паралельна робота та підключення генератора. Для контролю роботи передбачений дисплей і вбудований Wi-Fi, а також функції захисту від перевантаження, перегріву та короткого замикання. Для накопичення енергії використовується Felicity FLA48230. Це акумуляторна батарея на основі технології LiFePO4 з номінальною напругою 51,2 В, ємністю 230 А·год та запасом енергії близько 11,78 кВт·год. Така батарея може використовуватися як резервне джерело живлення під час відключень електроенергії або для накопичення енергії від сонячних панелей. Рекомендована глибина розряду становить близько 95%, заявлений ресурс 6000+ циклів. Для зв'язку з інвертором передбачені інтерфейси RS485 і CAN, корпус має захист IP21. Такий комплект інвертор + акумулятор містить основні компоненти для організації резервного та автономного живлення. Його можна використовувати для живлення будинку, квартири, офісу, майстерні або іншого об'єкта. За наявності сонячних панелей комплект також дозволяє використовувати сонячну енергію для живлення навантаження та заряджання акумулятора. Характеристики: Інвертор: MUST PV19-6048EXP 6 кВт 48 В Тип: гібридний інвертор Номінальна потужність: 6 кВт Кількість фаз: 1 Напруга АКБ: 48 В Форма вихідної напруги: чиста синусоїда 230 В Wi-Fi: є Акумулятор: Felicity FLA48230 Тип АКБ: LiFePO4 Номінальна напруга: 51,2 В Ємність: 230 А·год Енергоємність: близько 11,78 кВт·год BMS: є"
Комплекти автономного енергоживлення,FELICITY,Комплект автономного енергоживлення: Must PV18-3224VPM II+ Felicity FLA24230 25.6V 230Ah,53784,грн,assets/images/komp/152220.jpg,"Комплект автономного енергоживлення Must PV18-3224VPM II+ Felicity FLA24230 25.6V 230Ah Комплект автономного енергоживлення MUST та Felicity підійде для будинку, квартири, офісу, майстерні або іншого об'єкта, де потрібна система резервного та автономного живлення. У комплекті поєднані інвертор MUST потужністю 3,2 кВт та акумулятор Felicity на 5,89 кВт·год, тому система може живити підключене навантаження та накопичувати електроенергію для подальшого використання. MUST PV18-3224 VPM II це гібридний інвертор потужністю 3,2 кВт з номінальною напругою акумулятора 24 В. Він формує вихідну напругу 230 В у вигляді чистої синусоїди, тому підходить для живлення побутової техніки, електроніки та іншого обладнання в межах допустимого навантаження. Інвертор може працювати від акумулятора, сонячних панелей, електромережі або генератора. Пікова потужність становить 6400 ВА. Вбудований сонячний контролер MPPT розрахований на струм до 60 А, максимальний сумарний струм заряджання від сонця та мережі становить 120 А. Для контролю роботи передбачений дисплей і вбудований Wi-Fi, а також функції захисту від перевантаження, перегріву та короткого замикання. Для накопичення енергії використовується Felicity FLA24230. Це акумуляторна батарея на основі технології LiFePO4 з номінальною напругою 25,6 В, ємністю 230 А·год та запасом енергії близько 5,89 кВт·год. Така батарея може використовуватися як резервне джерело живлення під час відключень електроенергії або для накопичення енергії від сонячних панелей. Такий комплект інвертор + акумулятор містить основні компоненти для організації резервного та автономного живлення. Його можна використовувати для живлення будинку, квартири, офісу, майстерні або іншого об'єкта. За наявності сонячних панелей комплект також дозволяє використовувати сонячну енергію для живлення навантаження та заряджання акумулятора. Характеристики: Інвертор: MUST PV18-3224 VPM II 3,2 кВт 24 В Тип: гібридний інвертор Номінальна потужність: 3,2 кВт Кількість фаз: 1 Напруга АКБ: 24 В Форма вихідної напруги: чиста синусоїда 230 В Wi-Fi: є Акумулятор: Felicity FLA24230 Тип АКБ: LiFePO4 Номінальна напруга: 25,6 В Ємність: 230 А·год Енергоємність: близько 5,89 кВт·год BMS: є"
Комплекти автономного енергоживлення,FELICITY,Комплект автономного енергоживлення: Must PV18-3224VPM II+ Felicity FLA24280 25.6V 280Ah,71344,грн,assets/images/komp/152221.jpg,"Комплект автономного енергоживлення Must PV18-3224VPM II+ Felicity FLA24280 25.6V 280Ah Комплект автономного енергоживлення MUST та Felicity підійде для будинку, квартири, офісу, майстерні або іншого об'єкта, де потрібна система резервного та автономного живлення. У комплекті поєднані інвертор MUST потужністю 3,2 кВт та акумулятор Felicity на 7,17 кВт·год, тому система може живити підключене навантаження та накопичувати електроенергію для подальшого використання. MUST PV18-3224 VPM II це гібридний інвертор потужністю 3,2 кВт з номінальною напругою акумулятора 24 В. Він формує вихідну напругу 230 В у вигляді чистої синусоїди, тому підходить для живлення побутової техніки, електроніки та іншого обладнання в межах допустимого навантаження. Інвертор може працювати від акумулятора, сонячних панелей, електромережі або генератора. Пікова потужність становить 6400 ВА. Вбудований сонячний контролер MPPT розрахований на струм до 60 А, максимальний сумарний струм заряджання від сонця та мережі становить 120 А. Для контролю роботи передбачений дисплей і вбудований Wi-Fi, а також функції захисту від перевантаження, перегріву та короткого замикання. Для накопичення енергії використовується Felicity FLA24280. Це акумуляторна батарея на основі технології LiFePO4 з номінальною напругою 25,6 В, ємністю 280 А·год та запасом енергії близько 7,17 кВт·год. Така батарея може використовуватися як резервне джерело живлення під час відключень електроенергії або для накопичення енергії від сонячних панелей. Такий комплект інвертор + акумулятор містить основні компоненти для організації резервного та автономного живлення. Його можна використовувати для живлення будинку, квартири, офісу, майстерні або іншого об'єкта. За наявності сонячних панелей комплект також дозволяє використовувати сонячну енергію для живлення навантаження та заряджання акумулятора. Характеристики: Інвертор: MUST PV18-3224 VPM II 3,2 кВт 24 В Тип: гібридний інвертор Номінальна потужність: 3,2 кВт Кількість фаз: 1 Напруга АКБ: 24 В Форма вихідної напруги: чиста синусоїда 230 В Wi-Fi: є Акумулятор: Felicity FLA24280 Тип АКБ: LiFePO4 Номінальна напруга: 25,6 В Ємність: 280 А·год Енергоємність: близько 7,17 кВт·год BMS: є"
Силові та сонячні кабелі,KBE,"Сонячний кабель KBE Solar 6 мм, 500 м (бухта), червоний, Німеччина",33618,грн,assets/images/komp/152253.jpg,"Сонячний кабель KBE Solar 6 мм², 500 м (бухта), червоний, Німеччина Сонячний кабель KBE Solar 6 мм² використовується для підключення сонячних панелей та іншого обладнання фотоелектричної системи. Кабель призначений для прокладання електричних з'єднань у сонячних електростанціях та фотоелектричних системах. KBE Solar має переріз 6 мм² та поставляється в бухті довжиною 500 м. Червоний колір кабелю зручно використовувати для позначення окремих ліній під час монтажу сонячної електростанції та прокладання кабельних з'єднань. Сонячний кабель KBE Solar 6 мм² підходить для використання у фотоелектричних системах, де потрібен кабель для сонячних панелей відповідного перерізу. Бухта довжиною 500 м зручна для монтажу систем, у яких необхідна значна довжина кабельної лінії. Характеристики: виробник: KBE Solar країна виробництва: Німеччина переріз: 6 мм² довжина: 500 м колір: червоний тип: сонячний кабель призначення: для сонячних панелей та фотоелектричних систем форма поставки: бухта"
Гибридні інвертори,FELICITY,"Гібридний інвертор Felicity IVEM8048-II 48В 8 кВт, 607х464х141, 23.7 кг",36254,грн,assets/images/komp/152266.jpg,"Гібридний інвертор Felicity IVEM8048-II 48В 8 кВт, 607х464х141, 23.7 кг Felicity IVEM8048-II – гібридний інвертор потужністю 8 кВт для систем автономного та резервного живлення. Модель працює з акумуляторними батареями на 48 В та розрахована на однофазні системи.  Інвертор може використовуватися для роботи з сонячними панелями та акумуляторними батареями, дозволяючи поєднати генерацію, накопичення та споживання електроенергії в одній системі. Залежно від налаштувань енергія може використовуватися безпосередньо від сонячних панелей, накопичуватися в акумуляторі або надходити з мережі.  Потужність 8 кВт підходить для живлення побутового та іншого обладнання з урахуванням допустимого навантаження інвертора. Напруга акумуляторної системи 48 В дозволяє використовувати інвертор із відповідними LiFePO4 батареями. На виході інвертор формує чисту синусоїду 230 В AC ±5%, тому підходить для побутової техніки, електроінструменту та іншого обладнання в межах допустимого навантаження. Через LCD-дисплей можна налаштовувати вхідну напругу, струм заряджання та режим заряджання. Вбудований Wi-Fi дозволяє контролювати роботу системи через мобільний застосунок. Модель має захист від перевантаження, перегріву та короткого замикання, підтримує холодний старт, автоматичний перезапуск після відновлення AC-живлення та функцію активації літієвої батареї.  Корпус має розміри 607 × 464 × 141 мм, вага інвертора становить 23,7 кг. Під час монтажу необхідно передбачити достатньо місця для встановлення, підключення кабелів та нормального охолодження обладнання. Де використовується Гібридний інвертор Felicity IVEM8048-II можна використовувати:  • для резервного живлення будинку або квартири  • у сонячних електростанціях  • для роботи з акумуляторними батареями 48 В  • у системах накопичення електроенергії  • для зменшення споживання електроенергії з мережі  • як частину автономної або гібридної системи живлення На що звернути увагу Перед покупкою важливо перевірити сумісність інвертора з акумулятором, параметри сонячного поля, допустиме навантаження та особливості підключення до електромережі. Також варто врахувати, що це однофазна модель, якщо інвертор планується використовувати в будинку з трифазним вводом."
Акумулятори для гібридних інверторів,FELICITY,"Акумуляторна батарея Felicity FLB48314TG1-H 51.2V 314Ah, з підігрівом, 895х450х235, 121 кг",89625,грн,assets/images/komp/152270.jpg,"Акумуляторна батарея Felicity FLB48314TG1-H 51,2 В 314 А·год з підігрівом, 895 × 450 × 235 мм, 121 кг Felicity FLB48314TG1-H – це літій-залізо-фосфатна акумуляторна батарея LiFePO4 ємністю 314 А·год та номінальною напругою 51,2 В. Акумулятор призначений для систем резервного та автономного живлення, а також для роботи разом з інвертором. Ємність 314 А·год дозволяє накопичувати енергію для живлення побутового та іншого обладнання під час відключень електроенергії. Номінальна енергоємність батареї становить 16,08 кВт·год, а напруга 51,2 В підходить для систем, розрахованих на 48 В. Акумулятор виконаний за технологією LiFePO4, яка добре підходить для систем накопичення енергії з регулярними циклами заряджання та розряджання. Такий формат часто використовують у домашніх системах резервного живлення, сонячних електростанціях та автономних енергетичних комплексах. Батарея оснащена підігрівом, що дозволяє використовувати її в умовах низьких температур з урахуванням вимог виробника. Корпус має розміри 895 × 450 × 235 мм, вага акумулятора становить 121 кг. Компактні розміри дозволяють встановлювати батарею в спеціально підготовленому місці або акумуляторній шафі з урахуванням необхідного простору для монтажу та обслуговування. Де використовується Акумулятор Felicity FLB48314TG1-H 314 А·год можна використовувати як джерело накопичення енергії у таких системах: • резервного живлення будинку або квартири • автономного електроживлення • роботи з інвертором • накопичення енергії від сонячних панелей • живлення обладнання під час відключень електроенергії Важливо: перед підключенням необхідно перевірити сумісність акумулятора з інвертором за напругою, параметрами заряджання та способом комунікації, якщо вона передбачена."
Комплекти автономного енергоживлення,DEYE,Комплект автономного енергоживлення: Felicity IVEM8048-II 8 кВт 48 В + DEYE SE-F5 Pro-C 51.2V 100 Аh,81179,грн,assets/images/komp/152274.jpg,"Комплект автономного енергоживлення Felicity IVEM8048-II 8 кВт 48 В + Deye SE-F5 Pro-C 51.2V 100 Аh Комплект автономного енергоживлення Felicity та Deye підійде для будинку або іншого об'єкта, де потрібна надійна система резервного та автономного живлення. У комплекті поєднані інвертор Felicity потужністю 8 кВт та акумулятор Deye на 5,12 кВт·год, тому система дозволяє живити навантаження та накопичувати електроенергію для подальшого використання. Felicity IVEM8048-II -- інвертор потужністю 8 кВт з номінальною напругою акумулятора 48 В. Він формує вихідну напругу 230 В у вигляді чистої синусоїди, тому підходить для живлення побутової техніки, електроніки та іншого обладнання. Модель має вбудований MPPT-контролер з двома PV-входами та підтримує підключення сонячних панелей загальною потужністю до 10 кВт. Максимальна напруга відкритого контуру PV становить 500 В. Інвертор може працювати не тільки від акумулятора та сонячних панелей, а й від електромережі або генератора. Максимальний струм заряджання становить 150 А. Felicity IVEM8048-II також підтримує паралельне підключення до 6 інверторів, що дозволяє збільшити потужність системи в майбутньому. Для контролю роботи передбачений вбудований WiFi, а також є функції захисту від перевантаження, перегріву та короткого замикання. Для накопичення енергії використовується Deye SE-F5 Pro-C. Це акумуляторна батарея на основі технології LiFePO4 з номінальною напругою 51,2 В, ємністю 100 А·год та запасом енергії 5,12 кВт·год. Така батарея може використовуватися як резервне джерело живлення під час відключень електроенергії або для накопичення енергії, отриманої від сонячних панелей. Deye SE-F5 Pro підтримує максимальний безперервний струм заряду та розряду 100 А, а піковий струм до 150 А може підтримуватися протягом 120 секунд. Рекомендована глибина розряду становить 90%, а заявлений ресурс - 6000+ циклів. Батарея має вбудовану систему контролю та захисту, LED-індикатори стану і корпус із захистом IP21. Для зв'язку з інвертором акумулятор підтримує CAN 2.0 та RS485. За потреби систему можна розширити: Deye SE-F5 Pro підтримує паралельне підключення до 32 акумуляторів, а з використанням CAN-Box - до 64 блоків. Такий комплект інвертор + акумулятор містить основні компоненти для організації резервного та автономного живлення. Його можна використовувати для автономного живлення будинку, квартири, офісу, майстерні або іншого об'єкта. За наявності сонячних панелей комплект також дозволяє використовувати сонячну енергію для живлення навантаження та заряджання акумулятора. Характеристики: Інвертор: Felicity IVEM8048-II 8 кВт 48 В Тип: гібридний інвертор Номінальна потужність: 8 кВт Кількість фаз: 1 Напруга АКБ: 48 В Кількість MPPT: 2 Максимальна потужність сонячних панелей: 10 кВт Максимальний струм заряду: 150 А Максимальна кількість інверторів при паралельному підключенні: 6 ККД: до 94,5% WiFi: є Підключення генератора: є Робоча температура: від -10 до +50 °C Акумулятор: DEYE SE-F5 Pro-C Тип АКБ: LiFePO4 Номінальна напруга: 51,2 В Ємність: 100 А·год Енергоємність: 5,12 кВт·год Максимальний струм заряду: 100 А Максимальний струм розряду: 100 А Глибина розряду: до 90% Ресурс: 6000+ циклів BMS: є Комунікація: CAN, RS485 Ступінь захисту: IP20 Можливість розширення: до 32 акумуляторних блоків паралельно"
Комплекти автономного енергоживлення,FELICITY,Комплект автономного енергоживлення: Felicity IVEM8048-II 8 кВт 48 В + Felicity FLA48230 51.2V 230Ah,106329,грн,assets/images/komp/152277.jpg,"Комплект автономного енергоживлення Felicity IVEM8048-II 8 кВт 48 В + Felicity FLA48230 51.2V 230Ah Комплект автономного енергоживлення Felicity та Felicity підійде для будинку, квартири, офісу, майстерні або іншого об'єкта, де потрібна система резервного та автономного живлення. У комплекті поєднані інвертор Felicity потужністю 8 кВт та акумулятор Felicity на 11,78 кВт·год, тому система може живити підключене навантаження та накопичувати електроенергію для подальшого використання. Felicity IVEM8048-II це гібридний інвертор потужністю 8 кВт з номінальною напругою акумулятора 48 В. Він формує вихідну напругу 230 В у вигляді чистої синусоїди, тому підходить для живлення побутової техніки, електроніки та іншого обладнання в межах допустимого навантаження. Інвертор може працювати від акумулятора, сонячних панелей, електромережі або генератора. Модель має вбудований MPPT-контролер з двома PV-входами і підтримує підключення сонячних панелей загальною потужністю до 10 кВт, максимальний струм заряджання становить 150 А. Передбачена паралельна робота до 6 інверторів. Для контролю роботи передбачений дисплей і вбудований Wi-Fi, а також функції захисту від перевантаження, перегріву та короткого замикання. Для накопичення енергії використовується Felicity FLA48230. Це акумуляторна батарея на основі технології LiFePO4 з номінальною напругою 51,2 В, ємністю 230 А·год та запасом енергії близько 11,78 кВт·год. Така батарея може використовуватися як резервне джерело живлення під час відключень електроенергії або для накопичення енергії від сонячних панелей. Рекомендована глибина розряду становить близько 95%, заявлений ресурс 6000+ циклів. Для зв'язку з інвертором передбачені інтерфейси RS485 і CAN, корпус має захист IP21. Такий комплект інвертор + акумулятор містить основні компоненти для організації резервного та автономного живлення. Його можна використовувати для живлення будинку, квартири, офісу, майстерні або іншого об'єкта. За наявності сонячних панелей комплект також дозволяє використовувати сонячну енергію для живлення навантаження та заряджання акумулятора. Характеристики: Інвертор: Felicity IVEM8048-II 8 кВт 48 В Тип: гібридний інвертор Номінальна потужність: 8 кВт Кількість фаз: 1 Напруга АКБ: 48 В Форма вихідної напруги: чиста синусоїда 230 В Wi-Fi: є Акумулятор: Felicity FLA48230 Тип АКБ: LiFePO4 Номінальна напруга: 51,2 В Ємність: 230 А·год Енергоємність: близько 11,78 кВт·год BMS: є"
